,date,open,high,low,close,vol
578,2015-08-21,67.99,69.2471,66.128,68.0658,403232
579,2015-08-22,69.0183,69.0662,68.0658,68.9287,31
580,2015-08-23,68.73,69.1918,68.4322,68.8191,37
581,2015-08-24,69.1146,71.6191,68.3889,70.5079,451954
582,2015-08-25,70.882,71.5483,68.1057,68.7685,421954
583,2015-08-26,68.9856,70.7332,67.2494,68.568,387128
584,2015-08-27,68.9072,69.0814,65.0459,65.0459,367345
585,2015-08-28,65.9824,67.3723,64.0338,64.5774,468251
586,2015-08-29,65.3568,65.5093,64.5774,65.3138,29
587,2015-08-30,65.145,66.2121,65.145,65.5712,55
588,2015-08-31,65.8667,67.393,63.5961,64.1353,461730
589,2015-09-01,64.3233,66.7977,62.1441,66.0548,457104
590,2015-09-02,66.3405,68.0155,64.7976,66.4717,460796
591,2015-09-03,66.9427,69.0001,65.2015,66.4345,426467
592,2015-09-04,66.8206,68.5056,66.0981,68.0159,388316
593,2015-09-05,68.4746,68.5507,68.0159,68.2268,28
594,2015-09-06,67.513,68.4942,67.513,68.481,47
595,2015-09-07,67.539,69.7622,66.0221,67.977,337132
596,2015-09-08,69.1792,69.5836,67.1924,67.636,457821
597,2015-09-09,67.9227,68.5366,65.8953,68.1701,364759
598,2015-09-10,68.4716,68.8604,67.1638,67.5457,368474
599,2015-09-11,67.662,68.39,65.912,66.9887,358393
600,2015-09-12,67.8729,67.8845,67.6275,67.8055,30
601,2015-09-13,67.806,67.806,67.4879,67.7834,51
602,2015-09-14,67.7834,68.0616,65.7728,67.3716,228382
603,2015-09-15,67.7763,68.4107,66.1837,66.4661,271957
604,2015-09-16,66.836,66.8623,64.6424,65.2304,390761
605,2015-09-17,65.5535,66.3342,63.8371,64.7601,405184
606,2015-09-18,65.3291,67.725,63.8469,67.3945,329110
607,2015-09-19,67.515,67.515,66.3195,66.3195,31
608,2015-09-20,65.952,67.6461,65.952,66.37,107
609,2015-09-21,66.4905,67.7,64.8652,65.8742,262732
610,2015-09-22,66.0869,67.364,64.3869,65.7529,222291
611,2015-09-23,65.7529,67.6769,64.3639,66.4526,275402
612,2015-09-24,66.3536,66.825,65.2223,65.8051,263168
613,2015-09-25,65.8055,66.4966,64.3782,64.5373,261101
614,2015-09-26,64.5373,65.5742,64.5373,65.5077,34
615,2015-09-27,65.545,65.6535,64.419,65.2908,40
616,2015-09-28,65.0123,66.9179,64.3239,65.7036,207227
617,2015-09-29,66.2383,66.8253,64.7847,65.8031,267434
618,2015-09-30,66.2632,66.3263,63.3294,65.1214,198044
619,2015-10-01,65.3094,66.626,64.4306,64.4306,221192
620,2015-10-02,64.4306,67.09,64.3974,65.2185,253623
621,2015-10-03,65.2185,66.2089,65.2185,66.1216,32
622,2015-10-04,65.96,66.0197,65.7242,65.9899,29
623,2015-10-05,66.0197,67.1236,64.0225,64.024,285912
624,2015-10-06,64.4325,65.2555,61.9944,62.7585,195593
625,2015-10-07,63.0743,63.6,61.8306,62.258,108225
626,2015-10-08,62.5535,63.3174,61.125,61.3222,102190
627,2015-10-09,61.3927,62.122,60.675,61.0658,100856
628,2015-10-10,61.4557,61.655,61.1105,61.655,39
629,2015-10-11,61.418,63.2755,60.665,61.8383,65
630,2015-10-12,61.8383,62.5316,60.6541,61.0899,368524
631,2015-10-13,61.1869,63.56,60.4926,62.7569,413288
632,2015-10-14,63.0283,63.2941,60.8161,62.5304,396855
633,2015-10-15,62.6466,63.4146,60.777,60.9981,359924
634,2015-10-16,61.2933,62.1231,60.4926,60.9906,381835
635,2015-10-17,61.5885,61.6327,61.172,61.4006,29
636,2015-10-18,61.418,61.77,61.1929,61.5709,119
637,2015-10-19,61.6414,62.4288,60.85,62.2773,334725
638,2015-10-20,62.2773,63.1747,61.6138,62.0168,340245
639,2015-10-21,62.0068,63.494,61.7372,63.494,375385
640,2015-10-22,63.5097,64.6476,62.3368,63.0253,319497
641,2015-10-23,63.0958,63.5975,61.5918,62.2668,341073
642,2015-10-24,62.3926,62.4726,62.3466,62.39,35
643,2015-10-25,62.39,62.4554,62.297,62.3204,230
644,2015-10-26,62.3909,63.0485,61.3382,62.7198,396890
645,2015-10-27,62.7198,65.37,62.1712,64.9696,419486
646,2015-10-28,64.9696,65.847,63.1059,63.5556,457913
647,2015-10-29,63.5556,64.6844,62.481,63.8906,485524
648,2015-10-30,63.8906,64.6572,62.6651,63.7587,431691
649,2015-10-31,63.7842,64.0481,63.6682,63.8312,33
650,2015-11-01,63.675,64.5622,62.3727,64.2648,145
651,2015-11-02,64.5603,64.5603,62.6139,63.0559,372799
652,2015-11-03,63.0559,64.0866,62.207,62.5426,406314
653,2015-11-04,62.5426,63.3148,61.5638,63.1101,148044
654,2015-11-05,63.205,63.7065,62.6533,63.3656,412741
655,2015-11-06,63.4162,64.8166,62.25,64.4368,385631
656,2015-11-07,64.4368,64.6065,62.6081,64.5243,2835
657,2015-11-08,64.677,64.677,62.9495,63.4433,117
658,2015-11-09,63.4919,64.9381,63.2466,64.5885,372287
659,2015-11-10,64.5885,64.7451,63.9723,64.4956,377729
660,2015-11-11,64.5337,65.6717,63.6709,65.5108,313547
661,2015-11-12,65.4771,66.6735,64.965,66.4715,410672
662,2015-11-13,66.4715,67.0486,65.1051,66.7681,347249
663,2015-11-14,66.7681,66.8495,65.9537,66.8118,1020
664,2015-11-15,66.845,66.845,65.5475,65.843,50
665,2015-11-16,65.843,67.9462,64.8045,65.2974,376881
666,2015-11-17,65.3644,65.7663,64.494,65.1664,448635
667,2015-11-18,65.2265,65.4881,64.4449,64.7128,385323
