Название,ISIN,Рейтинг,Качество Эмитента,Объем,Дата Выпуска,Дата Погашения / Оферты,Купон,Частота Выплат,Дюрация
РЖД 1Р-42R,RU000A10BGF2,AA,4,30000,24.04.2025,03.04.2029,17.4,12,2.79
ДАРСДев1Р3,RU000A10B8X7,B+,4,1000,08.04.2025,30.09.2026,26,12,1.01
СэтлГрБ2P4,RU000A10B8M0,BB,6.8,6000,07.04.2025,29.09.2026,23.9,12,1.03
МаниМен2П1,RU000A10BGC9,B+,9.5,1400,24.04.2025,03.04.2029,25.5,12,2.3
РостелP16R,RU000A10BG13,AA,8.1,15000,22.04.2025,12.04.2027,17.65,12,1.48
Инаркт2Р2,RU000A10B8R9,BBB,8.6,2000,07.04.2025,03.04.2028,19,4,2.17
R-Vision 2,RU000A10B7W1,B,6.2,500,03.04.2025,18.03.2028,24.5,12,1.99
ПКБ 1Р-07,RU000A10BGU1,BB,9,1000,25.04.2025,09.04.2028,24.5,12,1.87
Новотр 1Р6,RU000A10BBE6,A,6.7,10500,11.04.2025,22.09.2028,18.75,12,2.22
"Апт36,62P2",RU000A10B7H2,BB-,3.3,1250,01.04.2025,23.09.2026,24.5,12,1.01
БиоВит 1Р1,RU000A10B7N0,B,6.1,100,02.04.2025,17.03.2028,28,12,1.89
СибКХП 1P3,RU000A10BHX3,B,5.1,150,29.04.2025,08.04.2029,25.5,12,1.84
ЛаймЗайм05,RU000A10B8C1,B,3,400,04.04.2025,19.03.2028,27.5,12,1.43
НовТех1Р5,RU000A10BFK4,BB,3.6,400,18.04.2025,08.04.2027,23.25,12,1.43
СЗА БО-02,RU000A10B7S9,B,6.2,100,02.04.2025,17.03.2028,28.5,12,1.86
ТГК-14 1Р7,RU000A10BPF3,BB-,6.5,6500,29.05.2025,23.05.2030,21.5,4,3.01
ПолиплП2Б5,RU000A10BPN7,BB,4.3,7700,29.05.2025,19.05.2027,25.5,12,1.48
Систем2P02,RU000A10BPZ1,BBB,3.7,12000,30.05.2025,20.05.2027,22.75,12,1.52
БалтЛизП16,RU000A10BJX9,BBB,3.8,4500,30.05.2025,14.05.2028,22.25,12,1.5
АБЗ-1 2Р03,RU000A10BNM4,BB-,3.6,2500,23.05.2025,07.05.2028,25.5,12,1.69
АПРИ 2Р10,RU000A10BM56,B+,3.4,500,22.05.2025,15.08.2026,30.5,12,0.93
Страна 03,RU000A10BP46,B+,3.1,1000,27.05.2025,11.05.2028,26.5,12,2.02
ПИР 1P3,RU000A10BP87,B,3.4,500,27.05.2025,11.05.2028,30,12,1.6
РусГидБП13,RU000A10BNF8,AA,4.2,15000,23.05.2025,11.08.2027,17.35,12,1.73
МТС 2P-11,RU000A10BP79,AA,3,15000,27.05.2025,18.11.2026,19,12,3.21
ТЛК 1Р2,RU000A10BJL4,B,3,200,06.05.2025,01.05.2026,29,12,0.69
ЭНИКА 1Р06,RU000A10BNK8,B+,4.3,300,23.05.2025,27.04.2030,27,12,2.23
СИМПЛ1Р03,RU000A10BNE1,BB,5.5,1000,23.05.2025,16.08.2026,22.5,12,0.95
ВТБ Б1-372,RU000A10BJH2,AA,1.1,1480,05.05.2025,03.11.2025,20.3,4,0.25
sСОПФДОМ13,RU000A10BPQ0,AA,4.4,10000,29.05.2025,27.05.2027,17.95,4,1.56
